species,common_name,taxon_id,year,onset_doy,species_median_doy,anomaly_days,zscore
Sambucus racemosa,red-berried elder,57824,2020,112.2,113.0,-0.8,-0.141
Sambucus racemosa,red-berried elder,57824,2021,114.6,113.0,1.6,0.282
Sambucus racemosa,red-berried elder,57824,2022,112.0,113.0,-1.0,-0.176
Sambucus racemosa,red-berried elder,57824,2023,119.0,113.0,6.0,1.058
Sambucus racemosa,red-berried elder,57824,2024,101.0,113.0,-12.0,-2.116
Sambucus racemosa,red-berried elder,57824,2025,105.0,113.0,-8.0,-1.411
Tellima grandiflora,fringe cups,51655,2017,125.2,119.8,5.4,1.199
Tellima grandiflora,fringe cups,51655,2018,118.0,119.8,-1.8,-0.4
Tellima grandiflora,fringe cups,51655,2019,117.0,119.8,-2.8,-0.622
Tellima grandiflora,fringe cups,51655,2020,119.8,119.8,0.0,0.0
Tellima grandiflora,fringe cups,51655,2021,121.0,119.8,1.2,0.266
Tellima grandiflora,fringe cups,51655,2022,120.0,119.8,0.2,0.044
Tellima grandiflora,fringe cups,51655,2023,127.0,119.8,7.2,1.599
Tellima grandiflora,fringe cups,51655,2024,113.0,119.8,-6.8,-1.51
Tellima grandiflora,fringe cups,51655,2025,115.0,119.8,-4.8,-1.066
Trillium ovatum,Pacific trillium,49463,2017,104.0,100.0,4.0,1.118
Trillium ovatum,Pacific trillium,49463,2018,104.0,100.0,4.0,1.118
Trillium ovatum,Pacific trillium,49463,2019,96.0,100.0,-4.0,-1.118
Trillium ovatum,Pacific trillium,49463,2020,98.0,100.0,-2.0,-0.559
Trillium ovatum,Pacific trillium,49463,2021,100.0,100.0,0.0,0.0
Vaccinium ovatum,Evergreen Huckleberry,48349,2017,104.4,111.0,-6.6,-0.739
Vaccinium ovatum,Evergreen Huckleberry,48349,2018,106.4,111.0,-4.6,-0.515
Vaccinium ovatum,Evergreen Huckleberry,48349,2020,110.8,111.0,-0.2,-0.022
Vaccinium ovatum,Evergreen Huckleberry,48349,2021,112.0,111.0,1.0,0.112
Vaccinium ovatum,Evergreen Huckleberry,48349,2022,113.0,111.0,2.0,0.224
